SURVEY_#,SURVEY_ID,AGE,GENDER,RACE,INDIGENOUS GROUP,MARITIAL_STATUS,CHILDREN,YEARS_ACTIVE_GUERILLA,QUESTION 2 (WVS #33),QUESTION 3 (WVS #35),QUESTION 5 (WVS-6 #48),QUESTION 6 (WVS #28),QUESTION 8 (WVS #29),QUESTION 9 (WVS #30),QUESTION 11 (WVS #31),QUESTION 12 (WVS #32),HOMOSEXUALITY,PROSTITUTION,ABORTION,DIVORCE,PREMARITAL_SEX,HUSBAND_HITTING_WIFE,BREADWINNER,FEMALE_GUERILLA_LEADERS,%_WOMEN_IN_UNIT,GROUP_DOMESTIC_TASKS,IND_DOMESTIC_TASKS,SPOUSE_EARN_MORE,LITERATE_PRE_GUERILLA,JOINED_FORMAL_EDUCATION,FEMINIST,PRIOR_POLITICS_KNOWLEDGE,FORMER_TRADITIONAL_MINDSET,COMMON_TO_FALL_IN_LOVE,COMMON_TO_HAVE_SEX,SEX_PERMITTED,ROMANCE_CIVILIANS,COMMON_MEN_OR_WOMEN,BIRTH_CONTROL,PREGNANCY,ABORTION.1,PRE_POST_SEXISM,COMMENTS
25,VT-25,32.0,Female,White,,Co-habitation,1.0,14.0,2.0,2.0,1.0,4,3.0,4.0,4.0,4.0,10.0,8.5,6.5,10.0,6.5,1.0,1,3.0,50%,2.0,2.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,0,
26,VT-26,62.0,Male,Mesitzo,,Co-habitation,1.0,37.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,9.0,10.0,10.0,10.0,1.0,BOTH,2.0,30%,3.0,3.0,0.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,2,"#14: ""es culpa de estado"" #25: ""5* de primaria"" #28: ""tuve militaricia en el partido comunista"" #29: ""transformacion total"""
27,VT-27,57.0,Male,Black,Guayú,Married,16.0,23.0,2.0,2.0,1.0,4,4.0,4.0,4.0,,10.0,10.0,10.0,5.5,10.0,1.0,0,2.0,30%,3.0,3.0,0.0,1.0,1,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2,"#12: ""depende la persona"" #27: ""yo trabajo por el derecho de la mujer. no me gusta esa palabra"" #35: ""cuando uribe no se puelo"""
28,OT-01,53.0,Female,White,,Co-habitation,5.0,20.0,2.0,2.0,2.0,4,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,0,3.0,50%,3.0,3.0,0.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2,"#9: ""ambos"""
29,OT-02,26.0,,White,,Co-habitation,1.0,6.0,1.0,2.0,2.0,4,3.0,3.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1,2.0,50%,3.0,3.0,0.0,2.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2,
30,OT-03,43.0,Male,Mestizo,,Co-habitation,2.0,23.0,1.0,2.0,2.0,4,4.0,,4.0,4.0,1.0,9.0,1.0,10.0,10.0,5.0,1,2.0,30%,3.0,3.0,0.0,3.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0,"#9: ""ambos"""
31,OT-04,28.0,Male,Indigenous,Wuayu,Single,7.0,18.0,1.0,2.0,2.0,4,4.0,,4.0,2.0,,,,10.0,,1.0,1,2.0,40%,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2,"#9: ""ambos"""
32,OT-05,37.0,Male,Mestizo,,Co-habitation,2.0,17.0,2.0,2.0,2.0,1,4.0,,4.0,3.0,10.0,1.0,10.0,10.0,10.0,1.0,1,3.0,30%,3.0,3.0,0.0,2.0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2,"#9: ""para ambos"""
33,OT-06,50.0,Male,White,,Co-habitation,5.0,21.0,2.0,2.0,2.0,4,4.0,4.0,,,8.0,10.0,5.0,10.0,10.0,1.0,1,3.0,40%,3.0,3.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2,"#8: ""tiene iguales capacidades"" #18: ""es una manifestacion de violencia intra familiar"""
34,OT-07,41.0,Female,White,,Co-habitation,2.0,18.0,2.0,2.0,1.0,3,3.0,4.0,4.0,3.0,10.0,1.0,1.0,8.0,10.0,1.0,0,3.0,30%,3.0,3.0,0.0,3.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,2,
