survey_#,survey_id,age,gender,race,indigenous_group,marital_status,children,age_entered,years_active_guerilla,question 2 (wvs #33),question 3 (wvs #35),question 5 (wvs-6 #48),question 6 (wvs #28),question 8 (wvs #29),question 9 (wvs #30),question 11 (wvs #31),question 12 (wvs #32),homosexuality,prostitution,abortion,divorce,premarital_sex,husband_hitting_wife,breadwinner,female_guerilla_leaders,pct_women_in_unit,group_domestic_tasks,ind_domestic_tasks,spouse_earn_more,literate_pre_guerilla,joined_formal_education,feminist,prior_politics_knowledge,former_traditional_mindset,common_to_fall_in_love,common_to_have_sex,sex_permitted,romance_civilians,common_men_or_women,birth_control,pregnancy,abortion_commonness,pre_post_sexism
41,OT-14,34.0,Female,Other,,Co-habitation,7.0,9.0,20.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,10.0,10.0,1.0,10.0,10.0,1.0,0.0,3.0,20.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0
42,OT-15,33.0,Female,White,,Co-habitation,,15.0,13.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,5.0,9.0,7.0,10.0,10.0,1.0,0.0,3.0,50.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
43,OT-16,48.0,Male,Mestizo/a,,Co-habitation,,20.0,23.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,10.0,3.0,2.0,10.0,10.0,1.0,0.0,2.0,30.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,2.0
44,OT-17,35.0,Female,Black,,Co-habitation,2.0,14.0,16.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,2.0,50.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0
45,OT-18,40.0,Male,Indigenous,Kankuamo,Co-habitation,1.0,19.0,16.0,0.0,2.0,1.0,3.0,3.0,,4.0,4.0,10.0,7.0,1.0,10.0,1.0,1.0,1.0,2.0,60.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0
46,OT-19,28.0,Female,Indigenous,Yukpa,Co-habitation,,,15.0,2.0,2.0,2.0,1.0,,4.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,2.0,40.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
47,OT-20,26.0,Female,Indigenous,Wayu,Co-habitation,1.0,,15.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,10.0,1.0,1.0,10.0,10.0,1.0,0.0,3.0,40.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,2.0,2.0
48,OT-21,40.0,Male,Indigenous,Yukpa,Co-habitation,,19.0,16.0,2.0,2.0,2.0,4.0,4.0,,4.0,3.0,10.0,10.0,1.0,10.0,10.0,1.0,1.0,3.0,80.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
49,OT-22,39.0,Male,Mestizo/a,,Co-habitation,2.0,14.0,20.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,3.0,100.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0
50,OT-23,34.0,Male,White,,Co-habitation,2.0,23.0,6.0,,2.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,20.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0
